ID,Business,Trade,Area,Phone,Email,Address,Notes
19,"A S A P Plumbers","Plumber","Islington","020 3441 6626","","Unit 4 Bespoke Spaces N19","Small outfit"
20,"Advanced Professional Plumbing & Heating Ltd","Plumber/HVAC","Islington","020 7166 7835","","Mica Street N1","Ltd but local"
21,"A P S Plumbing Heating & Gas","Plumber/HVAC","Bow","07545 814605","","Attic Business Centre E3","Mobile=owner"
22,"Paul Roberts Plumbing & Heating","Plumber/HVAC","Haringey","020 8348 6096","","5 Russell Road N8",""
23,"24-7 Emergency Plumbing","Plumber","Islington","07471 875251","","3 Windermere Road N19","Mobile=owner"
24,"Thomas Stanley","Plumber","Islington","07505 215755","","59 Brunswick Court EC1V","Mobile+flat=owner"
25,"Angel Plumbing Services Ltd","Plumber","Islington","020 7251 3418","","177 Goswell Road EC1V",""
26,"Camden Plumbers 247","Plumber","Camden","020 3886 2276","","102 St. Pancras Way NW1","24/7"
27,"Tedrex Ltd","Plumber","Islington","07861 770008","","30b Mildmay Road N1","Mobile+flat=owner"
28,"Your Local Plumber","Plumber","Islington","07580 365247","","Unit 301 N1","Mobile=owner"
29,"G S Plumbing & Heating Ltd","Plumber/HVAC","Hackney","07838 020573","","Flat 113 Biggs Square E9","Mobile+flat=owner"
30,"Emergency General Plumber & Electrician","Plumber/Electrician","Hackney","020 3940 7203","","6 Hackney Road E2","Multi-trade"
31,"Aldgate Plumbing & Heating","Plumber/HVAC","Tower Hamlets","020 3191 8625","","Flat 48 Sceptre House E1","Flat=owner"
32,"E3 Plumber Electrician Locksmith","Plumber/Electrician","Bow","020 3940 7206","","Flat 19 Grindley House E3","Multi-trade"
33,"Bing Bros","Plumber","Tower Hamlets","07950 852392","","4 Giraud Street E14","Family Bros"
34,"P & P Plumbing & Heating Services Ltd","Plumber/HVAC","Newham","07863 240759","","5 Kingfisher Street E6","Mobile=owner"
35,"D & L","Plumber","Newham","07957 193625","","149 Beaconsfield Road E16","Mobile=owner"
36,"Support2go","Plumber","Tower Hamlets","020 8819 8998","","41 Skylines Village E14",""
37,"John Ince Electrical Ltd","Electrician","Islington","07976 430483","","Flat 1a Finsbury Park Road N4","30+ yrs. Mobile=owner"
38,"R M T Electrical Services","Electrician","SE London","07852 801484","","56 Aldeburgh Street SE10","15+ yrs exp"
39,"D B Electrical","Electrician","Barnet","07961 912360","","121 Mount Pleasant EN4","Mobile=owner"
40,"Beavers Gas Plumbing Heating & Drainage","Plumber/HVAC","SE London","020 3151 9504","","13 Arnold Estate SE1",""
41,"M J Plumbing & Heating Engineer","HVAC","NW London","07931 896070","","6 Wise Lane NW7","Mobile=owner"
42,"Lyons Heating Engineers","HVAC","Barnet","07719 399036","","61 Greenhill Park EN5","Mobile=owner"
43,"Justin Kennedy Central Heating & Plumbing","HVAC","Enfield","020 8366 0649","","180 Ladysmith Road EN1",""
44,"Edwards Plumbing & Heating Engineer","HVAC","Enfield","020 8805 1633","","74 Hertford Road EN3",""
45,"Falcon Plumbing & Heating Engineers","HVAC","Enfield","020 8360 0115","","3 Lingfield Close EN1",""
46,"Franklins Heating Engineers","HVAC","Enfield","020 8363 1185","","42 Holtwhite Hill EN2",""
47,"Bradbury Dental Surgery","Dentist","Hackney","020 7254 7322","","72 Dalston Lane E8",""
48,"Dental Beauty Dalston","Dentist","Hackney","020 7254 0898","","Unit 1 E8",""
49,"City Smile","Dentist","Hackney","020 7739 4275","","37-39 Mare Street E8",""
50,"Ardent Smile","Dentist","Hackney","020 8806 0106","","77 Upper Clapton Road E5",""
51,"Af Dental Hackney","Dentist","Hackney","020 7998 0080","","Unit C E9",""
52,"Camden Dental Centre","Dentist","Camden","020 7380 0768","","77 Camden High Street NW1",""
53,"Docklands Dental House","Dentist","Newham","020 7511 1234","","51-53 Barking Road E16",""
