Business,Trade,Area,Stars,#Reviews,Phone/WhatsApp,Website,Instagram,hard-to-reach review?,Best channel,Contact verified?,Notes
Aldgate Plumbing & Heating,Plumber/HVAC,Tower Hamlets,VERIFY,VERIFY,020 3191 8625,,,N,Phone → WhatsApp,✅,Flat 48 Sceptre House E1 4HP. Flat=owner
E3 Plumber Electrician Locksmith,Plumber/Electrician,Bow,VERIFY,VERIFY,020 3940 7206,,,N,Phone → WhatsApp,✅,Flat 19 Grindley House E3 4LG. Multi-trade
Bing Bros,Plumber,Tower Hamlets,VERIFY,VERIFY,07950 852392,,,N,Phone → WhatsApp,✅,4 Giraud Street E14 6EA. Mobile. Family Bros
P & P Plumbing & Heating Services Ltd,Plumber/HVAC,Newham,VERIFY,VERIFY,07863 240759,,,N,Phone → WhatsApp,✅,5 Kingfisher Street E6 5JZ. Mobile=owner
Support2go,Plumber,Tower Hamlets,VERIFY,VERIFY,020 8819 8998,,,N,Phone → WhatsApp,✅,41 Skylines Village E14 9TS
D & L,Plumber,Newham,VERIFY,VERIFY,07957 193625,,,N,Phone → WhatsApp,✅,149 Beaconsfield Road E16 4HT. Mobile=owner
John Ince Electrical Ltd,Electrician,Islington,VERIFY,VERIFY,07976 430483,,,N,Phone → WhatsApp,✅,Flat 1a 14 Finsbury Park Road N4 2JZ. 30+ yrs. Mobile=owner
R M T Electrical Services,Electrician,SE London,VERIFY,VERIFY,07852 801484,,,N,Phone → WhatsApp,✅,56 Aldeburgh Street SE10 0RR. 15+ yrs exp
D B Electrical,Electrician,Barnet,VERIFY,VERIFY,07961 912360,,,N,Phone → WhatsApp,✅,121 Mount Pleasant EN4 9ET. Mobile=owner
Beavers Gas Plumbing Heating & Drainage,Plumber/HVAC,SE London,VERIFY,VERIFY,020 3151 9504,,,N,Phone → WhatsApp,✅,13 Arnold Estate SE1 2DU
A Wallwork Heating Engineers Ltd,HVAC,Hackney,VERIFY,VERIFY,0800 781 2724,,,N,Phone → WhatsApp,SKIP,0800 number — call centre feel. SKIP
Justin Kennedy Central Heating & Plumbing,HVAC,Enfield,VERIFY,VERIFY,020 8366 0649,,,N,Phone → WhatsApp,✅,180 Ladysmith Road EN1 3AE
Edwards Plumbing & Heating Engineer,HVAC,Enfield,VERIFY,VERIFY,020 8805 1633,,,N,Phone → WhatsApp,✅,74 Hertford Road EN3 5AL
M J Plumbing & Heating Engineer,HVAC,NW London,VERIFY,VERIFY,07931 896070,,,N,Phone → WhatsApp,✅,6 Wise Lane NW7 2RE. Mobile=owner
Lyons Heating Engineers,HVAC,Barnet,VERIFY,VERIFY,07719 399036,,,N,Phone → WhatsApp,✅,61 Greenhill Park EN5 1HP. Mobile=owner
Falcon Plumbing & Heating Engineers,HVAC,Enfield,VERIFY,VERIFY,020 8360 0115,,,N,Phone → WhatsApp,✅,3 Lingfield Close EN1 2JL
Franklins Heating Engineers,HVAC,Enfield,VERIFY,VERIFY,020 8363 1185,,,N,Phone → WhatsApp,✅,42 Holtwhite Hill EN2 0NB
Bradbury Dental Surgery,Dentist,Hackney,VERIFY,VERIFY,020 7254 7322,,,N,Phone → WhatsApp,✅,72 Dalston Lane E8 3AH
Dental Beauty Dalston,Dentist,Hackney,VERIFY,VERIFY,020 7254 0898,,,N,Phone → WhatsApp,✅,Unit 1 E8 4FD
City Smile,Dentist,Hackney,VERIFY,VERIFY,020 7739 4275,,,N,Phone → WhatsApp,✅,37-39 Mare Street E8 4RP
Ardent Smile,Dentist,Hackney,VERIFY,VERIFY,020 8806 0106,,,N,Phone → WhatsApp,✅,77 Upper Clapton Road E5 9BU
Af Dental Hackney,Dentist,Hackney,VERIFY,VERIFY,020 7998 0080,,,N,Phone → WhatsApp,✅,Unit C E9 6SG
Camden Dental Centre,Dentist,Camden,VERIFY,VERIFY,020 7380 0768,,,N,Phone → WhatsApp,✅,77 Camden High Street NW1 7JL
Docklands Dental House,Dentist,Newham,VERIFY,VERIFY,020 7511 1234,,,N,Phone → WhatsApp,✅,51-53 Barking Road E16 4HB
